study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,t_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,loop.slider.response,loop.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster,0,0,0,1,1.7190217999741435,,,,,,,,,,,,0,0,0,14,,,,,0.045419199857860804,,0.02912990003824234,0.045419199857860804,0.045419199857860804,1.7631287998519838,1,1.7190217999741435,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
cushion,1,1,0,1,0.92784220026806,,,,,,,,,,,,0,1,1,1,,,,,1.7919501001015306,,1.7690050997771323,1.7919501001015306,1.7919501001015306,2.7123246998526156,1,0.92784220026806,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
book,2,2,0,1,0.7982625998556614,,,,,,,,,,,,0,2,2,0,,,,,2.725168500095606,,2.7150416001677513,2.725168500095606,2.725168500095606,3.5295923999510705,1,0.7982625998556614,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
laptop,3,3,0,1,0.7624218999408185,,,,,,,,,,,,0,3,3,5,,,,,3.5583269000053406,,3.535014399792999,3.5583269000053406,3.5583269000053406,4.312960300128907,1,0.7624218999408185,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
cruise,4,4,0,1,0.7150206998921931,,,,,,,,,,,,0,4,4,11,,,,,4.325648699887097,,4.316070199944079,4.325648699887097,4.325648699887097,5.046519099734724,1,0.7150206998921931,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
mouse,5,5,0,1,0.797238300088793,,,,,,,,,,,,0,5,5,8,,,,,5.075116199906915,,5.049463999923319,5.075116199906915,5.075116199906915,5.862923900131136,1,0.797238300088793,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
pastry,6,6,0,1,0.7558142999187112,,,,,,,,,,,,0,6,6,9,,,,,5.891855500172824,,5.875189300160855,5.891855500172824,5.891855500172824,6.647275799885392,1,0.7558142999187112,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
police,7,7,0,1,0.7305425996892154,,,,,,,,,,,,0,7,7,12,,,,,6.674839499872178,,6.650377499870956,6.674839499872178,6.674839499872178,7.396467799786478,1,0.7305425996892154,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
t-shirt,8,8,0,1,0.5389698003418744,,,,,,,,,,,,0,8,8,7,,,,,7.424861500039697,,7.408059400040656,7.424861500039697,7.424861500039697,7.963318699970841,1,0.5389698003418744,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
board,9,9,0,1,0.7290032999590039,,,,,,,,,,,,0,9,9,4,,,,,7.991944199893624,,7.968464499805123,7.991944199893624,7.991944199893624,8.712978200055659,1,0.7290032999590039,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
keys,10,10,0,1,0.8648302000947297,,,,,,,,,,,,0,10,10,13,,,,,8.741433499846607,,8.715802399907261,8.741433499846607,8.741433499846607,9.59688979992643,1,0.8648302000947297,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
phone,11,11,0,1,0.7306292997673154,,,,,,,,,,,,0,11,11,2,,,,,9.625047700013965,,9.60038679977879,9.625047700013965,9.625047700013965,10.346108099911362,1,0.7306292997673154,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
marble,12,12,0,1,0.7488119998015463,,,,,,,,,,,,0,12,12,3,,,,,10.358948099892586,,10.348917699884623,10.358948099892586,10.358948099892586,11.112634799908847,1,0.7488119998015463,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
case,13,13,0,1,0.7309616999700665,,,,,,,,,,,,0,13,13,10,,,,,11.125527699943632,,11.11536239972338,11.125527699943632,11.125527699943632,11.863197600003332,1,0.7309616999700665,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
chart,14,14,0,1,0.7309139003045857,,,,,,,,,,,,0,14,14,6,,,,,11.891966799739748,,11.866029200144112,11.891966799739748,11.891966799739748,12.613414799794555,1,0.7309139003045857,,,,,,,,,,,,,,,01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,0,0,0,,,_ha_t,chart,old,chart,[0.2633333333333333],[0.03],[1],[0],[0],[4.452483699657023],[None],,,,,0,0,0,1,12.641625000163913,,,,,,,,12.6269589997828,12.641625000163913,12.641625000163913,12.641625000163913,0.013549600262194872,17.08002769993618,chart,[0.2633333333333333],[0.03],[1],[0],[0],[4.452483699657023],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,1,1,0,,,_ho_e,phone,old,phone,[0.2633333333333333],[0.03],[1],[0],[0],[7.530494700185955],[None],,,,,0,1,1,12,17.09943960001692,,,,,,,,17.08254149975255,17.09943960001692,17.09943960001692,17.09943960001692,0.002354799769818783,24.613669000100344,phone,[0.2633333333333333],[0.03],[1],[0],[0],[7.530494700185955],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,2,2,0,,,t_sh_t,tshirt,old,tshirt,[0.2633333333333333],[0.03],[1],[0],[0],[4.546707000117749],[None],,,,,0,2,2,2,24.62564710015431,,,,,,,,24.616184500046074,24.62564710015431,24.62564710015431,24.62564710015431,0.0024051000364124775,29.163492700085044,tshirt,[0.2633333333333333],[0.03],[1],[0],[0],[4.546707000117749],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,3,3,0,,,ta_l_e,table,new,tack,[],[],[],[],[],[],[],,,,,0,3,3,15,29.19160579983145,,,,,,,,29.165934700053185,29.19160579983145,29.19160579983145,29.19160579983145,0.0023254998959600925,39.17849439987913,tack,[],[],[],[],[],[],[],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,4,4,0,,,_ru__e,cruise,old,,[],[],[],[],[],[],[],,,,,0,4,4,6,39.19174939999357,,,,,,,,39.18103200010955,39.19174939999357,39.19174939999357,39.19174939999357,0.017426500096917152,49.1786680999212,,[],[],[],[],[],[],[],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,5,5,0,,,k_y_,keys,old,keys,[0.585],[0.225],[1],[0],[0],[4.964514000341296],[None],,,,,0,5,5,8,49.1916438001208,,,,,,,,49.18084889976308,49.1916438001208,49.1916438001208,49.1916438001208,0.017239199951291084,54.14599959971383,keys,[0.585],[0.225],[1],[0],[0],[4.964514000341296],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,6,6,0,,,p_li_e,police,old,police,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[2.8960935999639332],[None],,,,,0,6,6,7,54.17460729973391,,,,,,,,54.14866909990087,54.17460729973391,54.17460729973391,54.17460729973391,0.0025579999200999737,57.04538459982723,police,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[2.8960935999639332],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,7,7,0,,,v_s_,vase,new,vase,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[2.5281161996535957],[None],,,,,0,7,7,17,57.074075100012124,,,,,,,,57.04983949987218,57.074075100012124,57.074075100012124,57.074075100012124,0.004354600328952074,59.578666099812835,vase,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[2.5281161996535957],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,8,8,0,,,p_nc_l,pencil,new,pencil,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[3.94787980010733],[None],,,,,0,8,8,16,59.591590699739754,,,,,,,,59.581049600150436,59.591590699739754,59.591590699739754,59.591590699739754,0.002274800091981888,63.52962129982188,pencil,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[3.94787980010733],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,9,9,0,,,p_st_r,poster,old,poster,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[3.7451359000988305],[None],,,,,0,9,9,9,63.5576406000182,,,,,,,,63.53299599979073,63.5576406000182,63.5576406000182,63.5576406000182,0.0032453001476824284,67.27882630005479,poster,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[3.7451359000988305],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,10,10,0,,,bo_t_e,bottle,new,bottle,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[4.297828800044954],[None],,,,,0,10,10,18,67.29161179997027,,,,,,,,67.28122689994052,67.29161179997027,67.29161179997027,67.29161179997027,0.002292199991643429,71.5797339999117,bottle,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[4.297828800044954],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
,11,11,0,,,l_pt_p,laptop,old,laptop,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[2.964014899916947],[None],,,,,0,11,11,0,71.60786279989406,,,,,,,,71.58244640007615,71.60786279989406,71.60786279989406,71.60786279989406,0.0025723003782331944,74.54714890010655,laptop,[0.4033333333333333],[0.13666666666666666],[1],[0],[0],[2.964014899916947],[None],01,001,2024-11-06_14h49.27.339,Word Priming Task,2024.2.1post4,59.4352932708047,2024-11-06 14h49.58.592454 +0530,
