study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,t_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,loop.slider.response,loop.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,0,0,0,1.0,9.899415099993348,,,,,,,,,,,,0,0,0,8,,,,,0.031192199792712927,,0.01820340007543564,0.031192199792712927,0.031192199792712927,8.032821099739522,9.934228799771518,1.0,9.899415099993348,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
chart,1,1,0,1.0,1.6273143999278545,,,,,,,,,,,,0,1,1,6,,,,,9.950408400036395,,9.940556799992919,9.950408400036395,9.950408400036395,,11.583715199958533,1.0,1.6273143999278545,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
pastry,2,2,0,1.0,2.146156399976462,,,,,,,,,,,,0,2,2,9,,,,,11.598873499780893,,11.589436799753457,11.598873499780893,11.598873499780893,,13.750384999904782,1.0,2.146156399976462,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
case,3,3,0,1.0,1.0981109999120235,,,,,,,,,,,,0,3,3,10,,,,,13.766333600040525,,13.75314430007711,13.766333600040525,13.766333600040525,,14.867199799977243,1.0,1.0981109999120235,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
book,4,4,0,1.0,0.798259699717164,,,,,,,,,,,,0,4,4,0,,,,,14.88261769991368,,14.869941900018603,14.88261769991368,14.88261769991368,,15.684439799748361,1.0,0.798259699717164,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
keys,5,5,0,1.0,0.8308494002558291,,,,,,,,,,,,0,5,5,13,,,,,15.699131899978966,,15.687067599967122,15.699131899978966,15.699131899978966,,16.533778800163418,1.0,0.8308494002558291,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
marble,6,6,0,1.0,1.1984221995808184,,,,,,,,,,,,0,6,6,3,,,,,16.54891309980303,,16.536941099911928,16.54891309980303,16.54891309980303,,17.750064599793404,1.0,1.1984221995808184,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
board,7,7,0,1.0,0.8294508000835776,,,,,,,,,,,,0,7,7,4,,,,,17.765368400141597,,17.755084900185466,17.765368400141597,17.765368400141597,,18.60069129988551,1.0,0.8294508000835776,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
laptop,8,8,0,1.0,0.8807316003367305,,,,,,,,,,,,0,8,8,5,,,,,18.615625699982047,,18.603592799976468,18.615625699982047,18.615625699982047,,19.50039089983329,1.0,0.8807316003367305,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
phone,9,9,0,1.0,1.0458820001222193,,,,,,,,,,,,0,9,9,2,,,,,19.515900400001556,,19.505392199847847,19.515900400001556,19.515900400001556,,20.566837300080806,1.0,1.0458820001222193,,,,,,,,,,,,,,,,,,,03,001,2024-11-06_16h14.26.351,Word Priming Task,2024.2.1post4,59.628656444907094,2024-11-06 16h15.04.062420 +0530,
