study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,t_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,loop.slider.response,loop.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
police,0,0,0,1,1.9398783999495208,,,,,,,,,,,,0,0,0,12,,,,,0.04250389989465475,,0.023218199610710144,0.04250389989465475,0.04250389989465475,1.9793642000295222,1,1.9398783999495208,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
mouse,1,1,0,1.0066666666666666,0.9649877999909222,,,,,,,,,,,,0,1,1,8,,,,,1.993503199890256,,1.9816870000213385,1.993503199890256,1.993503199890256,2.962572299875319,1.0066666666666666,0.9649877999909222,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
t-shirt,2,2,0,1.0066666666666666,0.9639026001095772,,,,,,,,,,,,0,2,2,7,,,,,2.975891999900341,,2.9665377996861935,2.975891999900341,2.975891999900341,3.946207699831575,1.0066666666666666,0.9639026001095772,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
keys,3,3,0,1.0066666666666666,1.0803757002577186,,,,,,,,,,,,0,3,3,13,,,,,3.9599343999288976,,3.9493729998357594,3.9599343999288976,3.9599343999288976,5.045951099600643,1.0066666666666666,1.0803757002577186,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
marble,4,4,0,1.0066666666666666,0.9639608999714255,,,,,,,,,,,,0,4,4,3,,,,,5.060133900027722,,5.049117499962449,5.060133900027722,5.060133900027722,6.028890499845147,1.0066666666666666,0.9639608999714255,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
board,5,5,0,1.0066666666666666,0.9972942001186311,,,,,,,,,,,,0,5,5,4,,,,,6.043123199604452,,6.032140299677849,6.043123199604452,6.043123199604452,7.0463593997992575,1.0066666666666666,0.9972942001186311,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
chart,6,6,0,1.0066666666666666,0.897649799939245,,,,,,,,,,,,0,6,6,6,,,,,7.059640999883413,,7.0485032997094095,7.059640999883413,7.059640999883413,7.962181999813765,1.0066666666666666,0.897649799939245,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
cushion,7,7,0,1.0066666666666666,0.8648577001877129,,,,,,,,,,,,0,7,7,1,,,,,7.9765074998140335,,7.965470099821687,7.9765074998140335,7.9765074998140335,8.84625509986654,1.0066666666666666,0.8648577001877129,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
pastry,8,8,0,1.0066666666666666,0.7646158998832107,,,,,,,,,,,,0,8,8,9,,,,,8.859899600036442,,8.848444699775428,8.859899600036442,8.859899600036442,9.628950399812311,1.0066666666666666,0.7646158998832107,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
phone,9,9,0,1.0066666666666666,0.7988683003932238,,,,,,,,,,,,0,9,9,2,,,,,9.643352899700403,,9.631130199879408,9.643352899700403,9.643352899700403,10.4460138999857,1.0066666666666666,0.7988683003932238,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
case,10,10,0,1.0066666666666666,0.9316203002817929,,,,,,,,,,,,0,10,10,10,,,,,10.459888199809939,,10.448157999664545,10.459888199809939,10.459888199809939,11.395875199697912,1.0066666666666666,0.9316203002817929,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
laptop,11,11,0,1.0066666666666666,0.9652530997991562,,,,,,,,,,,,0,11,11,5,,,,,11.409826299641281,,11.398133999668062,11.409826299641281,11.409826299641281,12.379562799818814,1.0066666666666666,0.9652530997991562,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
poster,12,12,0,1.0066666666666666,0.7810864001512527,,,,,,,,,,,,0,12,12,14,,,,,12.393018699716777,,12.3816848997958,12.393018699716777,12.393018699716777,13.178954300004989,1.0066666666666666,0.7810864001512527,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
book,13,13,0,1.0066666666666666,0.8829293996095657,,,,,,,,,,,,0,13,13,0,,,,,13.1931631998159,,13.180931400042027,13.1931631998159,13.1931631998159,14.07943859975785,1.0066666666666666,0.8829293996095657,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
cruise,14,14,0,1.0066666666666666,0.6986404000781476,,,,,,,,,,,,0,14,14,11,,,,,14.09333709999919,,14.081764000002295,14.09333709999919,14.09333709999919,14.796093099750578,1.0066666666666666,0.6986404000781476,,,,,,,,,,,,,,,,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
,0,0,0,,,c_s_,case,old,case,[-0.39666666666666667],[-0.11333333333333333],[1],[0],[0],[3.9076861003413796],[None],,,,,0,0,0,5,14.825737999752164,,,,,,,,14.805246299598366,14.825737999752164,14.825737999752164,14.825737999752164,0.00914960028603673,18.71348959999159,case,[-0.39666666666666667],[-0.11333333333333333],[1],[0],[0],[3.9076861003413796],[None],,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
,1,1,0,,,_ru__e,cruise,old,cruise,[-0.365],[-0.015],[1],[0],[0],[3.8636234998703003],[None],,,,,0,1,1,6,18.726274699904025,,,,,,,,18.71533069992438,18.726274699904025,18.726274699904025,18.726274699904025,0.0017454000189900398,22.57958409981802,cruise,[-0.365],[-0.015],[1],[0],[0],[3.8636234998703003],[None],,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
,2,2,0,,,l_pt_p,laptop,old,laptop,[-0.365],[0.006666666666666667],[1],[0],[0],[3.71500839991495],[None],,,,,0,2,2,0,22.593335999641567,,,,,,,,22.58139259973541,22.593335999641567,22.593335999641567,22.593335999641567,0.0017233001999557018,26.29689639993012,laptop,[-0.365],[0.006666666666666667],[1],[0],[0],[3.71500839991495],[None],,,,,04,001,2024-11-06_21h35.28.390,Word Priming Task,2024.2.1post4,60.077018680970205,2024-11-06 21h35.39.927558 +0530,
